Securities market credit ($ in mils.),,,
,,,
,,,
End of month,Margin debt,Free credit cash accounts,Credit balances in margin accounts
,,,
Jan-59,"$3,452 ",,"$1,226 "
Feb-59,"$3,410 ",,"$1,196 "
Mar-59,"$3,458 ",,"$1,257 "
Apr-59,"$3,567 ",,"$1,205 "
May-59,"$3,549 ",,"$1,188 "
Jun-59,"$3,546 ",,"$1,094 "
Jul-59,"$3,528 ",,"$1,079 "
Aug-59,"$3,424 ",,"$1,035 "
Sep-59,"$3,406 ",,"$1,039 "
Oct-59,"$3,378 ",,$966 
Nov-59,"$3,438 ",,$974 
Dec-59,"$3,430 ",,$996 
Jan-60,"$3,333 ",,$998 
Feb-60,"$3,267 ",,$981 
Mar-60,"$3,145 ",,$988 
Apr-60,"$3,150 ",,$940 
May-60,"$3,151 ",,$970 
Jun-60,"$3,188 ",,"$1,016 "
Jul-60,"$3,113 ",,"$1,018 "
Aug-60,"$3,220 ",,"$1,021 "
Sep-60,"$3,259 ",,"$1,059 "
Oct-60,"$3,243 ",,"$1,063 "
Nov-60,"$3,240 ",,"$1,062 "
Dec-60,"$3,317 ",,"$1,135 "
Jan-61,"$3,330 ",,"$1,269 "
Feb-61,"$3,426 ",,"$1,392 "
Mar-61,"$3,656 ",,"$1,507 "
Apr-61,"$3,986 ",,"$1,508 "
May-61,"$4,100 ",,"$1,453 "
Jun-61,"$4,076 ",,"$1,283 "
Jul-61,"$4,041 ",,"$1,207 "
Aug-61,"$4,021 ",,"$1,208 "
Sep-61,"$4,037 ",,"$1,227 "
Oct-61,"$4,072 ",,"$1,214 "
Nov-61,"$4,180 ",,"$1,213 "
Dec-61,"$4,294 ",,"$1,219 "
Jan-62,"$4,145 ",,"$1,225 "
Feb-62,"$4,100 ",,"$1,190 "
Mar-62,"$4,117 ",,"$1,154 "
Apr-62,"$4,115 ",,"$1,110 "
May-62,"$4,034 ",,"$1,205 "
Jun-62,"$3,637 ",,"$1,374 "
Jul-62,"$3,592 ",,"$1,252 "
Aug-62,"$3,796 ",,"$1,130 "
Sep-62,"$3,914 ",,"$1,091 "
Oct-62,"$3,889 ",,"$1,126 "
Nov-62,"$3,975 ",,"$1,151 "
Dec-62,"$4,149 ",,"$1,216 "
Jan-63,"$4,236 ",,"$1,199 "
Feb-63,"$4,355 ",,"$1,191 "
Mar-63,"$4,358 ",,"$1,175 "
Apr-63,"$4,551 ",,"$1,199 "
May-63,"$4,760 ",,"$1,164 "
Jun-63,"$4,930 ",,"$1,149 "
Jul-63,"$4,920 ",,"$1,126 "
Aug-63,"$5,057 ",,"$1,093 "
Sep-63,"$5,356 ",,"$1,180 "
Oct-63,"$5,524 ",,"$1,176 "
Nov-63,"$5,621 ",,"$1,211 "
Dec-63,"$5,541 ",,"$1,210 "
Jan-64,"$5,546 ",,"$1,262 "
Feb-64,"$5,405 ",,"$1,199 "
Mar-64,"$5,387 ",,"$1,231 "
Apr-64,"$5,531 ",,"$1,165 "
May-64,"$5,458 ",,"$1,138 "
Jun-64,"$5,388 ",,"$1,146 "
Jul-64,"$5,314 ",,"$1,114 "
Aug-64,"$5,207 ",,"$1,077 "
Sep-64,"$5,241 ",,"$1,145 "
Oct-64,"$5,205 ",,"$1,155 "
Nov-64,"$5,181 ",,"$1,131 "
Dec-64,"$5,101 ",,"$1,169 "
Jan-65,"$5,019 ",,"$1,207 "
Feb-65,"$5,038 ",,"$1,254 "
Mar-65,"$5,085 ",,"$1,264 "
Apr-65,"$5,096 ",,"$1,207 "
May-65,"$5,154 ",,"$1,208 "
Jun-65,"$5,139 ",,"$1,297 "
Jul-65,"$4,887 ",,"$1,233 "
Aug-65,"$4,908 ",,"$1,192 "
Sep-65,"$5,016 ",,"$1,369 "
Oct-65,"$5,096 ",,"$1,475 "
Nov-65,"$5,232 ",,"$1,479 "
Dec-65,"$5,543 ",,"$1,666 "
Jan-66,"$5,020 ",,
Feb-66,"$5,110 ",,
Mar-66,"$5,120 ",,
Apr-66,"$5,270 ",,
May-66,"$5,070 ",,
Jun-66,"$5,310 ",,
Jul-66,"$5,180 ",,
Aug-66,"$5,060 ",,
Sep-66,"$5,020 ",,
Oct-66,"$4,950 ",,
Nov-66,"$4,950 ",,
Dec-66,"$4,910 ",,
Jan-67,"$4,810 ",,$640 
Feb-67,"$4,870 ",,$670 
Mar-67,"$5,010 ",,$620 
Apr-67,"$5,090 ",,$670 
May-67,"$5,160 ",,$760 
Jun-67,"$5,360 ",,$710 
Jul-67,"$5,490 ",,$720 
Aug-67,"$5,620 ",,$700 
Sep-67,"$5,810 ",,$740 
Oct-67,"$6,020 ",,$810 
Nov-67,"$6,090 ",,$840 
Dec-67,"$6,310 ",,$910 
Jan-68,"$6,150 ",,$950 
Feb-68,"$6,150 ",,$990 
Mar-68,"$6,190 ",,$980 
Apr-68,"$6,430 ",,$990 
May-68,"$6,640 ",,$990 
Jun-68,"$6,690 ",,"$1,000 "
Jul-68,"$6,510 ",,"$1,060 "
Aug-68,"$6,430 ",,$980 
Sep-68,"$6,380 ",,$990 
Oct-68,"$6,240 ",,"$1,040 "
Nov-68,"$6,200 ",,"$1,080 "
Dec-68,"$6,220 ",,"$1,150 "
Jan-69,"$5,930 ",,"$1,130 "
Feb-69,"$5,750 ",,"$1,190 "
Mar-69,"$5,600 ",,"$1,140 "
Apr-69,"$5,570 ",,$950 
May-69,"$5,670 ",,$890 
Jun-69,"$5,340 ",,$880 
Jul-69,"$5,170 ",,$850 
Aug-69,"$5,000 ",,$790 
Sep-69,"$4,940 ",,$790 
Oct-69,"$5,040 ",,$750 
Nov-69,"$5,070 ",,$740 
Dec-69,"$4,970 ",,$790 
Jan-70,"$4,680 ",,$750 
Feb-70,"$4,570 ",,$670 
